Name	ItemGenre	DetailType	ParticularType	Image	ObjDrop	Width	Height	Descript	Series	Price	Level	Stack	Magic1	Min1	Max1	Magic2	Min2	Max2	Magic3	Min3	Max3	Magic4	Min4	Max4	Magic5	Min5	Max5	Magic6	Min6	Max6	Magic7	Min7	Max7	Require1	Data1	Require2	Data2	Require3	Data3	Require4	Data4	Require5	Data5	Require6	Data6	DefMagic1	DefMagic2	DefMagic3	DefMagic4	DefMagic5	DefMagic6	Group	NeedToActive	TotalSetNum	ExpandMagic1	ExpandMagic2
HuyÒn Viªn TrÝ TuÖ Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(9)	4	99999	10	0																						36	120	39	0									953	873	973	1016	1333	1293	152	7	10	1458	1273
HuyÒn Viªn TrÝ TuÖ H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(10)	0	99999	10	0																						36	120	39	0									953	913	973	1216	1333	1293	152	7	10	130	0
HuyÒn Viªn Viªn M·n PhËt Ch©u	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(1)	4	99999	10	0																						36	120	39	0									953	933	974	1176	996	1293	153	7	10	1459	1273
HuyÒn Viªn Viªn M·n T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									954	853	973	1016	1333	1293	153	7	10	1426	1273
HuyÒn Viªn Viªn M·n Th­îng Giíi	0	3	1	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(3)	2	99999	10	0																						36	120	39	0									953	893	974	1196	1333	1293	153	7	10	130	0
HuyÒn Viªn Viªn M·n Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	0									954	873	973	1016	1333	1293	153	7	10	1426	1273
HuyÒn Viªn Viªn M·n Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									954	913	974	1216	1333	1293	153	7	10	1460	1273
HuyÒn Viªn Viªn M·n Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									954	933	974	1176	1236	1293	153	7	10	1426	1273
HuyÒn Viªn Viªn M·n T¨ng C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	0									1352	853	1076	1016	1333	1293	153	7	10	1426	0
HuyÒn Viªn Viªn M·n T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	0									954	893	974	1196	1256	1293	153	7	10	1426	0
HuyÒn Viªn Viªn M·n Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(9)	1	99999	10	0																						36	120	39	0									953	873	973	1016	1333	1293	153	7	10	1461	1273
HuyÒn Viªn Viªn M·n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(10)	3	99999	10	0																						36	120	39	0									953	913	973	1216	1333	1293	153	7	10	130	0
HuyÒn Viªn PhËt T©m H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(1)	4	99999	10	0																						36	120	39	0									953	933	974	1176	996	1293	154	7	10	1459	1273
HuyÒn Viªn PhËt T©m T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									954	853	973	1016	1333	1293	154	7	10	1426	1273
HuyÒn Viªn PhËt T©m Th­îng Giíi	0	3	1	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(3)	2	99999	10	0																						36	120	39	0									953	893	974	1196	1333	1293	154	7	10	130	0
HuyÒn Viªn PhËt T©m Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	0									954	873	973	1016	1333	1293	154	7	10	1426	0
HuyÒn Viªn PhËt T©m Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									954	913	974	1216	1333	1293	154	7	10	1462	1273
HuyÒn Viªn PhËt T©m Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									954	933	974	1176	1236	1293	154	7	10	1426	1273
HuyÒn Viªn PhËt T©m Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	0									1352	853	1076	1016	1333	1293	154	7	10	1426	0
HuyÒn Viªn PhËt T©m T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	0									954	893	974	1196	1256	1293	154	7	10	1426	1273
HuyÒn Viªn PhËt T©m Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(9)	1	99999	10	0																						36	120	39	0									953	873	973	1016	1333	1293	154	7	10	1463	1273
HuyÒn Viªn PhËt T©m H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(10)	3	99999	10	0																						36	120	39	0									953	913	973	1216	1333	1293	154	7	10	130	0
HuyÒn Viªn Xung Thiªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(1)	0	99999	10	0																						36	120	39	1									953	853	974	1016	996	1293	155	7	10	1464	1273
HuyÒn Viªn Xung Thiªn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									954	893	973	1196	1333	1293	155	7	10	1436	1273
HuyÒn Viªn Xung Thiªn Th­îng Giíi	0	3	1	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(3)	1	99999	10	0																						36	120	39	1									953	873	974	1016	1333	1293	155	7	10	130	0
HuyÒn Viªn Xung Thiªn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									954	913	973	1216	1333	1293	155	7	10	1436	1273
HuyÒn Viªn Xung Thiªn Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									954	933	974	1176	1333	1293	155	7	10	1465	1273
HuyÒn Viªn Xung Thiªn Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									954	853	974	1016	1236	1293	155	7	10	1436	0
HuyÒn Viªn Xung Thiªn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(7)	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	39	1									1276	893	1076	1196	1318	1293	155	7	10	1436	0
HuyÒn Viªn Xung Thiªn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									954	873	974	1016	1256	1293	155	7	10	1436	1273
HuyÒn Viªn Xung Thiªn Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(9)	3	99999	10	0																						36	120	39	1									953	913	973	1216	1333	1293	155	7	10	1466	1273
HuyÒn Viªn Xung Thiªn H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(10)	4	99999	10	0																						36	120	39	1									953	933	973	1176	1333	1293	155	7	10	130	0
HuyÒn Viªn Phi V©n H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(1)	0	99999	10	0																						36	120	39	1									953	853	974	1016	996	1293	156	7	10	1468	1273
HuyÒn Viªn Phi V©n Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									954	893	973	1196	1333	1293	156	7	10	1436	1273
HuyÒn Viªn Phi V©n Th­îng Giíi	0	3	1	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(3)	1	99999	10	0																						36	120	39	1									953	873	974	1016	1333	1293	156	7	10	130	0
HuyÒn Viªn Phi V©n Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									954	913	973	1216	1333	1293	156	7	10	1436	1273
HuyÒn Viªn Phi V©n Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									954	933	974	1176	1333	1293	156	7	10	1469	1273
HuyÒn Viªn Phi V©n Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									954	853	974	1016	1236	1293	156	7	10	1436	1273
HuyÒn Viªn Phi V©n Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	1									1276	893	1076	1196	1318	1293	156	7	10	1436	0
HuyÒn Viªn Phi V©n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									954	873	974	1016	1256	1293	156	7	10	1436	0
HuyÒn Viªn Phi V©n Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(9)	3	99999	10	0																						36	120	39	1									953	913	973	1216	1333	1293	156	7	10	1470	1273
HuyÒn Viªn Phi V©n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(10)	4	99999	10	0																						36	120	39	1									953	933	973	1176	1333	1293	156	7	10	130	0
HuyÒn Viªn Anh Dòng H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp HuyÒn Viªn(1)	0	99999	10	0																						36	120	39	1									953	853	974	1016	996	1293	157	7	10	1472	1273
HuyÒn Viªn Anh Dòng Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp HuyÒn Viªn(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									954	893	973	1196	1333	1293	157	7	10	1436	0
HuyÒn Viªn Anh Dòng Th­îng Giíi	0	3	1	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp HuyÒn Viªn(3)	1	99999	10	0																						36	120	39	1									953	873	974	1016	1333	1293	157	7	10	130	0
HuyÒn Viªn Anh Dòng Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp HuyÒn Viªn(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									954	913	973	1216	1333	1293	157	7	10	1436	1273
HuyÒn Viªn Anh Dòng Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp HuyÒn Viªn(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									954	933	974	1176	1333	1293	157	7	10	1473	1273
HuyÒn Viªn Anh Dòng Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp HuyÒn Viªn(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									954	853	974	1016	1236	1293	157	7	10	1436	1273
HuyÒn Viªn Anh Dòng B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp HuyÒn Viªn(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	1									1276	893	1076	1196	1318	1293	157	7	10	1436	0
HuyÒn Viªn Anh Dòng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp HuyÒn Viªn(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									954	873	974	1016	1256	1293	157	7	10	1436	1273
HuyÒn Viªn Anh Dòng Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp HuyÒn Viªn(9)	3	99999	10	0																						36	120	39	1									953	913	973	1216	1333	1293	157	7	10	1474	1273
HuyÒn Viªn Anh Dòng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp HuyÒn Viªn(10)	4	99999	10	0																						36	120	39	1									953	933	973	1176	1333	1293	157	7	10	130	0
HuyÒn Viªn TÞnh ¢m Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp HuyÒn Viªn(1)	4	99999	10	0																						36	120	39	4									953	933	974	1176	996	1293	158	7	10	1476	1273
HuyÒn Viªn TÞnh ¢m Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap12-3.spr	28	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp HuyÒn Viªn(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									954	853	973	1016	1333	1293	158	7	10	1426	1273
HuyÒn Viªn TÞnh ¢m Th­îng Giíi	0	3	1	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp HuyÒn Viªn(3)	2	99999	10	0																						36	120	39	4									953	893	974	1196	1333	1293	158	7	10	130	0
HuyÒn Viªn TÞnh ¢m Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp HuyÒn Viªn(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									954	873	973	1016	1333	1293	158	7	10	1426	0
HuyÒn Viªn TÞnh ¢m Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp HuyÒn Viªn(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									954	913	974	1216	1333	1293	158	7	10	1477	1273
HuyÒn Viªn TÞnh ¢m Sa Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth12-3.spr	24	2	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp HuyÒn Viªn(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									954	933	974	1176	1236	1293	158	7	10	1426	1273
HuyÒn Viªn TÞnh ¢m KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp HuyÒn Viªn(7)	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	4									1352	853	1076	1016	1333	1293	158	7	10	1426	0
HuyÒn Viªn TÞnh ¢m Hµi	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp HuyÒn Viªn(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									954	893	974	1196	1256	1293	158	7	10	1426	1273
HuyÒn Viªn TÞnh ¢m H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp HuyÒn Viªn(9)	1	99999	10	0																						36	120	39	4									953	873	973	1016	1333	1293	158	7	10	1478	1273
HuyÒn Viªn TÞnh ¢m H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp HuyÒn Viªn(10)	3	99999	10	0																						36	120	39	4									953	913	973	1216	1333	1293	158	7	10	130	0
HuyÒn Viªn Hµn B¨ng Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp HuyÒn Viªn(1)	4	99999	10	0																						36	120	39	4									953	933	974	1176	996	1293	159	7	10	1480	1273
HuyÒn Viªn Hµn B¨ng Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap12-3.spr	28	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp HuyÒn Viªn(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									954	853	973	1016	1333	1293	159	7	10	1426	1273
HuyÒn Viªn Hµn B¨ng Th­îng Giíi	0	3	1	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp HuyÒn Viªn(3)	2	99999	10	0																						36	120	39	4									953	893	974	1196	1333	1293	159	7	10	130	0
HuyÒn Viªn Hµn B¨ng Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp HuyÒn Viªn(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									954	873	973	1016	1333	1293	159	7	10	1426	1273
HuyÒn Viªn Hµn B¨ng Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp HuyÒn Viªn(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									954	913	974	1216	1333	1293	159	7	10	1481	1273
HuyÒn Viªn Hµn B¨ng Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth12-3.spr	24	2	3	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp HuyÒn Viªn(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									954	933	974	1176	1236	1293	159	7	10	1426	1273
HuyÒn Viªn Hµn B¨ng TriÒn Thñ 	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp HuyÒn Viªn(7)	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	120	39	4									1358	853	1116	1016	1333	1293	159	7	10	1426	0
HuyÒn Viªn Hµn B¨ng Hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp HuyÒn Viªn(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									954	893	974	1196	1256	1293	159	7	10	1426	0
HuyÒn Viªn Hµn B¨ng H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp HuyÒn Viªn(9)	1	99999	10	0																						36	120	39	4									953	873	973	1016	1333	1293	159	7	10	1482	1273
HuyÒn Viªn Hµn B¨ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp HuyÒn Viªn(10)	3	99999	10	0																						36	120	39	4									953	913	973	1216	1333	1293	159	7	10	130	0
HuyÒn Viªn NguyÖt Hoa Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp HuyÒn Viªn(1)	4	99999	10	0																						36	120	39	5									953	853	974	1016	996	1293	160	7	10	1484	1273
HuyÒn Viªn NguyÖt Hoa Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap09-3.spr	28	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp HuyÒn Viªn(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	5									954	893	973	1196	1333	1293	160	7	10	1426	1273
HuyÒn Viªn NguyÖt Hoa Th­îng Giíi	0	3	1	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp HuyÒn Viªn(3)	2	99999	10	0																						36	120	39	5									953	873	974	1016	1333	1293	160	7	10	130	0
HuyÒn Viªn NguyÖt Hoa Tô 	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp HuyÒn Viªn(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	5									954	913	973	1216	1333	1293	160	7	10	1426	0
HuyÒn Viªn NguyÖt Hoa Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp HuyÒn Viªn(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	5									954	933	974	1176	1333	1293	160	7	10	1485	1273
HuyÒn Viªn NguyÖt Hoa Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth09-3.spr	24	2	3	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp HuyÒn Viªn(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	5									954	853	974	1016	1235	1293	160	7	10	1426	1273
HuyÒn Viªn NguyÖt Hoa §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp HuyÒn Viªn(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	5									1352	893	1076	1196	1333	1293	160	7	10	1426	0
HuyÒn Viªn NguyÖt Hoa Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp HuyÒn Viªn(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	5									954	873	974	1016	1256	1293	160	7	10	1426	1273
HuyÒn Viªn NguyÖt Hoa H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp HuyÒn Viªn(9)	1	99999	10	0																						36	120	39	5									953	913	973	1216	1333	1293	160	7	10	1486	1273
HuyÒn Viªn NguyÖt Hoa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp HuyÒn Viªn(10)	3	99999	10	0																						36	120	39	5									953	933	973	1176	1333	1293	160	7	10	130	0
HuyÒn Viªn Phån Hoa Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Bé trang bÞ Thóy Yªn song ®ao cÊp HuyÒn Viªn(1)	0	99999	10	0																						36	120	39	5									953	853	974	1016	996	1293	161	7	10	1488	1273
HuyÒn Viªn Phån Hoa Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap09-3.spr	28	2	2	Bé trang bÞ Thóy Yªn song ®ao cÊp HuyÒn Viªn(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	5									954	893	973	1196	1333	1293	161	7	10	1426	1273
HuyÒn Viªn Phån Hoa Th­îng Giíi	0	3	1	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Thóy Yªn song ®ao cÊp HuyÒn Viªn(3)	1	99999	10	0																						36	120	39	5									953	873	974	1016	1333	1293	161	7	10	130	0
HuyÒn Viªn Phån Hoa Tô 	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Bé trang bÞ Thóy Yªn song ®ao cÊp HuyÒn Viªn(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	5									954	913	973	1216	1333	1293	161	7	10	1489	1273
