STT	Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	ActionScript	LevelScript	ExpParam	ExpParam1	ExpParam2	ExpParam3	LifeParam	LifeParam1	LifeParam2	LifeParam3	LifeReplenish	ARParam	ARParam1	ARParam2	ARParam3	DefenseParam	DefenseParam1	DefenseParam2	DefenseParam3	MinDamageParam	MinDamageParam1	MinDamageParam2	MinDamageParam3	MaxDamageParam	MaxDamageParam1	MaxDamageParam2	MaxDamageParam3	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile	AIMaxTime	TempImg	PhysicalDamageBase
689	Kim HiÖu óy	0	2	555	0			140				enemy031	0	0	0	0	0	28	33	30	10	23	12	53	1	53	1	53	1	53	1		\script\npclevelscript\soldier2.lua	100				100					100				100				100				100				9	9	18	18	800	50	1000	1	80	25	25	25	25	25	25	20	50						75	75	75	75	75	1080	100		6		0
690	Kim Thèng LÜnh	0	2	555	0			145				enemy036	0	0	0	0	0	24	43	30	10	21	12	1	1	1	1	1	1	1	1		\script\npclevelscript\soldier3.lua	100				100					100				100				100				100				10	10	18	18	800	50	1000	1	80	25	25	25	25	25	25	20	50						75	75	75	75	75	1080	100		6		0
691	Kim Phã t­íng	0	2	555	0			133				enemy024	0	0	0	0	0	24	40	32	13	24	12	53	1	139	1	139	1	139	1		\script\npclevelscript\soldier4.lua	100				100					100				100				100				100				11	11	18	18	800	50	1000	1	80	25	25	25	25	25	25	20	50						75	75	75	75	75	1080	100		6		0
692	Kim §¹i t­íng	0	2	555	0			132				enemy023	0	0	0	0	0	32	55	38	14	31	12	148	1	148	1	148	1	148	1		\script\npclevelscript\soldier5.lua	100				100					100				100				100				100				12	12	18	18	1200	100	1000	1	80	25	25	25	25	25	25	20	50						85	85	85	85	85	1080	100		6		0
693	Kim Nguyªn So¸i	0	2	555	0			115				enemy006	0	0	0	0	0	24	27	21	10	24	12	362	1	362	1	361	1	361	1		\script\npclevelscript\soldier6.lua	100				100					100				100				100				100				12	12	18	18	1800	100	2000	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	1080	100		3		0
694	Boss Liªu §Þnh	0	5	555	0			421				enemy206	0	0	0	0	0	30	30	20	11	23	15	165	1	165	1	165	1	165	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	12	12	800	50	1000	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		3		0
695	Danh hiÖu_ N÷ 	0	5	555	0			422				enemy207	0	0	0	0	0	30	30	20	11	23	15	165	1	165	1	165	1	165	1		\script\npclevelscript\soldier5.lua	100				100					100				100				100				100				12	12	12	12	800	100	1000	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	1080	100		9		0
696	Danh hiÖu_ Nam	0	5	555	0			423				enemy208	0	0	0	0	0	30	30	20	11	23	15	165	1	165	1	165	1	165	1		\script\npclevelscript\soldier5.lua	100				100					100				100				100				100				12	12	12	12	800	100	1000	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	1080	100		9		0
697	Th¸c B¹t Hoµi Xuyªn	3	6	555	0							enemy052	0	0	0	0	0	36	40	24	10	10	10	164	1	165	1	162	1	267	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				6	6	9	9	800	50	1000	1	60	100	0	0	0	50	0	0	0						95	95	95	95	95	1080	100		9		0
698	L­u UÈn Cæ 	3	6	555	0							enemy045	0	0	0	0	0	36	40	24	10	10	10	164	1	165	1	162	1	267	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				6	6	9	9	800	50	1000	1	60	100	0	0	0	50	0	0	0						95	95	95	95	95	1080	100		9		0
699	Thi Nghi Sinh	0	5	555	0			112				enemy003	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
700	ChÝnh Vâ SÜ 	0	5	555	0			185				enemy076	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
701	NguyÔn Minh ViÔn	0	5	555	0			256				enemy147	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
702	ThÞnh Do·n	0	5	555	0			130				enemy021	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
703	Phi Sa	0	5	555	3			192				enemy083	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\npc_mogaoku.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	50	25	25	25	25	30	50	0	0						75	75	90	75	75	1080	100		9		0
704	TÈu Th¹ch	0	5	555	3			187				enemy078	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\npc_mogaoku.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	50	25	25	25	25	30	50	0	0						75	75	90	75	75	1080	100		9		0
705	Sa §¹o	0	5	555	3			243				enemy134	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\npc_mogaoku.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	50	25	25	25	25	30	50	0	0						75	75	90	75	75	1080	100		9		0
706	M¹c TÆc	0	5	555	3			238				enemy129	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\npc_mogaoku.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	50	25	25	25	25	30	50	0	0						75	75	90	75	75	1080	100		9		0
707	ThÇn Tý 	0	5	555	2			137				enemy028	0	0	0	0	0	30	30	20	11	10	10	239	1	201	1	239	1	201	1		\script\npclevelscript\npc_fenglingdunan.lua	100				100					100				100				100				100				6	6	18	18	500	50	800	1	50	25	25	25	25	30	50	0	0						75	75	75	75	75	810	100		12		0
708	L·nh Th­¬ng	0	5	555	2			145				enemy036	0	0	0	0	0	30	30	20	11	10	10	1	1	233	1	1	1	233	1		\script\npclevelscript\npc_fenglingdunan.lua	100				100					100				100				100				100				6	6	18	18	500	50	800	1	50	25	25	25	25	30	50	0	0						75	75	75	75	75	810	100		12		0
709	LiÖt Kh«ng M¹c B¾c Th¶o Nguyªn 	0	5	555	4			256				enemy147	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\npc_mobeicaoyuan.lua	100				100					100				100				100				100				6	6	18	18	500	50	800	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1620	100		6		0
710	Kinh Phong M¹c B¾c Th¶o Nguyªn 	0	5	555	4			133				enemy024	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\npc_mobeicaoyuan.lua	100				100					100				100				100				100				6	6	18	18	500	50	800	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1620	100		6		0
711	Phôc Ba Kim s¬n  ®¶o 	0	5	555	4			420				enemy205	0	0	0	0	0	30	30	20	11	10	10	53	1	236	1	53	1	236	1		\script\npclevelscript\npc_jinshandao.lua	100				100					100				100				100				100				6	6	18	18	500	50	800	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1620	100		6		0
712	Ph¸ Lang Kim s¬n  ®¶o 	0	5	555	4			157				enemy048	0	0	0	0	0	30	30	20	11	10	10	53	1	122	1	53	1	122	1		\script\npclevelscript\npc_jinshandao.lua	100				100					100				100				100				100				6	6	18	18	500	50	800	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1620	100		6		0
713	Thõa Phong Kim s¬n  ®¶o 	0	5	555	4			178				enemy069	0	0	0	0	0	30	30	20	11	10	10	53	1	241	1	53	1	241	1		\script\npclevelscript\npc_jinshandao.lua	100				100					100				100				100				100				6	6	18	18	500	50	800	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1620	100		6		0
714	Th¸i C«ng C«ng	3	6	555	0							passerby059	0	0	0	0	0	36	40	24	10	10	10										\script\npclevelscript\newnpc.lua																															50		1																					100		9		0
715	Phã L«i Th­ 	3	6	555	0							passerby192	0	0	0	0	0	36	40	24	10	10	10										\script\npclevelscript\newnpc.lua																															50		1																					100		9		0
716	H¹ HÇu Phôc	0	5	555	0			159				enemy050	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
717	TiÕu V« Th­êng 	0	5	555	0			160				enemy051	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
718	§oan Méc Thanh	3	6	555	0							enemy062	0	0	0	0	0	36	40	24	10	10	10										\script\npclevelscript\newnpc.lua																															50		1																					100		9		0
719	Tiªu s­ 	3	6	555	0							enemy088	0	0	0	0	0	36	40	24	10	10	10										\script\npclevelscript\newnpc.lua																															50		1																					100		9		0
720	Lôc Phi 	0	5	555	0			198				enemy089	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
721	§å §¹i nh©n	0	5	555	0			202				enemy093	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
722	TiÓu Kú Nhi 	0	5	555	0			252				enemy143	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
723	Tµng B¶o kh¸ch	0	5	555	3			194				enemy085	0	0	0	0	0	30	30	20	11	10	10	153	1	153	1	153	1	153	1		\script\npclevelscript\task_normalnpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
724	Thñy tÆc 	0	5	555	2			420				enemy205	0	0	0	0	0	36	40	24	10	10	10	53	1	236	1	53	1	236	1		\script\npclevelscript\npc_fenglingdunan.lua	100				100					100				100				100				100				6	6	9	9	400	50	700	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	810	100		6		0
725	Boss Thñy tÆc ®Çu lÜnh 	0	5	555	24			420				enemy205	0	0	0	0	0	36	40	24	10	10	10	236	1	236	1	236	1	236	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				6	6	12	12	800	100	1000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	810	100		6		0
726	§Çu «ng ®Þa	0	5	555	2							npc050111001	0	0	0	0	0	35	36	32	12	14	13	101	1	235	1	53	1	53	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	2	40	40	60	40	60	0	0	10	0						90	75	60	75	75	1080	100		36		0
727	Nam S­ 	0	5	555	2							npc050111002	0	0	0	0	0	35	36	32	12	14	13	101	1	235	1	53	1	53	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	40	40	60	40	60	0	0	10	0						90	75	60	75	75	1080	100		36		0
728	B¾c S­ 	0	5	555	2							npc050111003	0	0	0	0	0	35	36	32	12	14	13	101	1	235	1	53	1	53	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	40	40	60	40	60	0	0	10	0						90	75	60	75	75	1080	100		36		0
729	Long Ch©u	0	5	555	2							npc050111004	0	0	0	0	0	35	36	32	12	14	13	101	1	235	1	53	1	53	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	40	40	60	40	60	0	0	10	0						90	75	60	75	75	1080	100		36		0
730	§Çu Rång	0	5	555	2							npc050111005	0	0	0	0	0	35	36	32	12	14	13	101	1	235	1	53	1	53	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	40	40	60	40	60	0	0	10	0						90	75	60	75	75	1080	100		36		0
731	Th©n Rång	0	5	555	2							npc050111006	0	0	0	0	0	35	36	32	12	14	13	101	1	235	1	53	1	53	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	40	40	60	40	60	0	0	10	0						90	75	60	75	75	1080	100		36		0
732	§u«i Rång	0	5	555	2							npc050111007	0	0	0	0	0	35	36	32	12	14	13	101	1	235	1	53	1	53	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	40	40	60	40	60	0	0	10	0						90	75	60	75	75	1080	100		36		0
733	CÈm Kª ®¨ng	3	6	555								npc050111008	0	0	0	0	0	38	20																																												400		700																						100		36		0
734	B¸t tiªn qu¸ h¶i	3	6	555								npc050111009	0	0	0	0	0	38	20																																												400		700																						100		36		0
735	H»ng Nga B«n NguyÖt	3	6	555								npc050111010	0	0	0	0	0	38	20																																												400		700																						100		36		0
736	®Ìn Hoa Sen	3	6	555								npc050111011	0	0	0	0	0	38	20																																												400		700																						100		36		0
737	Lång ®Ìn trßn	3	6	555								npc050111012	0	0	0	0	0	38	20																																												400		700	0																					100		36		0
738	¸c lang 	0	5	555	0			53				ani011	0	0	0	0	0	10	28	20	9	12	10	53	1	53	1	53	1	53	1		\script\npclevelscript\task_goldennpc.lua	100				100					100				100				100				100				12	12	15	15	500	50	800	1	80	25	25	25	25	25	25	20	50						95	95	95	95	95	270	100		6		0
739	wangzuo	0	5	555	24			165				boss024	0	0	0	0	0	37	38	20	11	10	10	1150	1	1150	1	1151	1	1151	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				15	15	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3		0
740	xuanjuedashi	0	5	555	24			165				boss003	0	0	0	0	0	37	38	20	11	10	10	1148	1	1148	1	1147	1	1147	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				15	15	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3	\spr\npcres\boss\boss003\boss003_at1.spr	0
741	tangburan	0	5	555	24			263				boss019	0	0	0	0	0	28	30	28	11	16	13	1158	1	1158	1	1160	1	1160	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				6	6	18	18	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3	\spr\npcres\boss\boss019\boss019_at02.spr	0
742	baiyingying	0	5	555	24			165				boss007	0	0	0	0	0	37	38	20	11	10	10	353	20	353	20	355	20	355	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3	\spr\npcres\boss\boss007\boss007_wlk.spr	0
743	qingxiaoshitai	0	5	555	24			165				boss004	0	0	0	0	0	37	38	20	11	10	10	1152	1	1152	1	1153	1	1153	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3	\spr\npcres\boss\boss004\boss004_at2.spr	0
744	yanxiaoqian	0	5	555	24			165				boss023	0	0	0	0	0	37	38	20	11	10	10	336	20	336	20	337	20	337	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	1						95	95	95	95	95	1440	100		3	\spr\npcres\boss\boss023\boss023_at02.spr	0
745	herenwo	0	5	555	24			165				boss013	0	0	0	0	0	37	38	20	11	10	10	1162	1	1162	1	1161	1	1161	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3	\spr\npcres\boss\boss013\boss013_at02.spr	0
746	shansinan	0	5	555	24			165				boss022	0	0	0	0	0	37	38	20	11	10	10	368	1	368	1	365	1	365	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1080	100		3	\spr\npcres\boss\boss022\boss022_at01.spr	0
747	xuanjizi	0	5	555	24			165				boss017	0	0	0	0	0	37	38	20	11	10	10	1167	1	1167	1	1168	1	1168	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1080	100		3	\spr\npcres\boss\boss017\boss017_at02.spr	0
748	hanmeng	0	5	555	24			165				boss009	0	0	0	0	0	37	38	20	11	10	10	325	1	40	1	362	1	362	1		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				15	15	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3	\spr\npcres\boss\boss009\boss009_at2.spr	0
749	Ngäc Thè 	3	6	555	0							critter016	0	0	0	0	0	185	185																																																																				100		36		0
750	NguyÖt Thè 	3	6	555	0							enemy115	0	0	0	0	0	185	185																																																																				100		36		0
751	damahu_tw	0	5	555	24			165				boss024	0	0	0	0	0	37	38	20	11	10	10	323	20	323	20	40	20	40	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				15	15	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3		0
752	damahu_sl	0	5	555	24			165				boss003	0	0	0	0	0	37	38	20	11	10	10	318	20	318	20	318	20	20	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				15	15	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3		0
753	damahu_tm	0	5	555	24			263				boss019	0	0	0	0	0	28	30	28	11	16	13	302	20	351	20	302	20	342	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				6	6	18	18	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3		0
754	damahu_wu	0	5	555	24			165				boss008	0	0	0	0	0	37	38	20	11	10	10	353	20	353	20	355	20	355	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3		0
755	damahu_em	0	5	555	24			165				boss002	0	0	0	0	0	37	38	20	11	10	10	328	20	328	20	380	20	380	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1080	100		3		0
756	damahu_cy	0	5	555	24			165				boss005	0	0	0	0	0	37	38	20	11	10	10	336	20	336	20	337	20	337	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1080	100		3		0
757	damahu_tr	0	5	555	24			165				boss015	0	0	0	0	0	37	38	20	11	10	10	361	20	361	20	362	20	362	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1080	100		3		0
758	damahu_gb	0	5	555	24			165				boss013	0	0	0	0	0	37	38	20	11	10	10	357	20	128	20	359	20	359	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1440	100		3		0
759	damahu_wd	0	5	555	24			165				boss022	0	0	0	0	0	37	38	20	11	10	10	368	20	368	20	365	20	365	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1080	100		3		0
760	damahu_kl	0	5	555	24			165				boss017	0	0	0	0	0	37	38	20	11	10	10	372	20	372	20	375	20	375	20		\script\npclevelscript\makeboss.lua	100				100					100				100				100				100				12	12	12	12	1800	100	2000	1	50	25	25	25	25	30	50	0	0						95	95	95	95	95	1080	100		3		0
761	NhiÖm vô s¸t thñ cÊp 20	0	5	555	8			160				enemy051	0	0	0	0	0	27	28					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	800	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
762	NhiÖm vô s¸t thñ cÊp 30	0	5	555	8			160				enemy051	0	0	0	0	0	32	32					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	900	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
763	NhiÖm vô s¸t thñ cÊp 40	0	5	555	8			160				enemy051	0	0	0	0	0	35	28					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1000	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
764	NhiÖm vô s¸t thñ cÊp 50	0	5	555	8			160				enemy051	0	0	0	0	0	30	35					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1100	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
765	NhiÖm vô s¸t thñ cÊp 60	0	5	555	8			160				enemy051	0	0	0	0	0	36	27					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1200	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
766	NhiÖm vô s¸t thñ cÊp 70	0	5	555	8			160				enemy051	0	0	0	0	0	40	39					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1300	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
767	NhiÖm vô s¸t thñ cÊp 80	0	5	555	8			160				enemy051	0	0	0	0	0	26	31					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1400	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
768	NhiÖm vô s¸t thñ cÊp 90	0	5	555	8			160				enemy051	0	0	0	0	0	27	29					153	1	153	1	153	1	153	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1500	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
769	NhiÕp ThÝ TrÇn	3	6	555								enemy154	0	0	0	0	0	17	33																																																																				100				0
770	NhiÖm vô s¸t thñ cÊp 201	0	5	555	8			216				enemy107	0	0	0	0	0	32	32					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	800	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
771	NhiÖm vô s¸t thñ cÊp 202	0	5	555	8			190				enemy081	0	0	0	0	0	35	28					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	800	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
772	NhiÖm vô s¸t thñ cÊp 203	0	5	555	8			218				enemy109	0	0	0	0	0	30	35					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	800	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
773	NhiÖm vô s¸t thñ cÊp 301	0	5	555	8			216				enemy107	0	0	0	0	0	32	32					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	900	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
774	NhiÖm vô s¸t thñ cÊp 302	0	5	555	8			190				enemy081	0	0	0	0	0	35	28					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	900	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
775	NhiÖm vô s¸t thñ cÊp 303	0	5	555	8			218				enemy109	0	0	0	0	0	30	35					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	900	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
776	NhiÖm vô s¸t thñ cÊp 304	0	5	555	8			235				enemy126	0	0	0	0	0	36	27	36	10	19	13	53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	900	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
777	NhiÖm vô s¸t thñ cÊp 401	0	5	555	8			216				enemy107	0	0	0	0	0	32	32					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1000	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
778	NhiÖm vô s¸t thñ cÊp 402	0	5	555	8			190				enemy081	0	0	0	0	0	35	28					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1000	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
779	NhiÖm vô s¸t thñ cÊp 403	0	5	555	8			218				enemy109	0	0	0	0	0	30	35					53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1000	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
780	NhiÖm vô s¸t thñ cÊp 404	0	5	555	8			235				enemy126	0	0	0	0	0	36	27	36	10	19	13	53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1000	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
781	NhiÖm vô s¸t thñ cÊp 405	0	5	555	8			198				enemy089	0	0	0	0	0	40	39	33	12	24	15	53	1	53	1	53	1	53	1		\script\npclevelscript\task_killboss.lua	100				100					100				100				100				100				12	12	15	15	1000	100	1500	1	50	25	25	25	25	30	50	0	0						85	85	85	85	85	16200	100		6		0
